OBJECTID,AllBridges_2009April_BDEPT,AllBridges_2009April_BIN,AllBridges_2009April_FHWA_Record,AllBridges_2009April_Health_Index,AllBridges_2009April_Item___6A,AllBridges_2009April_Item___7,AllBridges_2009April_Item___8_Bridge_Cat,AllBridges_2009April_Item___8_Owner,AllBridges_2009April_Item__16A,AllBridges_2009April_Item__16B,AllBridges_2009April_Item__16C,AllBridges_2009April_Item__17A,AllBridges_2009April_Item__17B,AllBridges_2009April_Item__17C,AllBridges_2009April_Item__26,AllBridges_2009April_Item__28A,AllBridges_2009April_Item__29,AllBridges_2009April_Item__30,AllBridges_2009April_Item__32,AllBridges_2009April_Item__34,AllBridges_2009April_Item__49,AllBridges_2009April_Item__52,AllBridges_2009April_Item__58,AllBridges_2009April_Item_104,AllBridges_2009April_Posting_2_Axle,AllBridges_2009April_Posting_3_Axle,AllBridges_2009April_Posting_5_Axle,AllBridges_2009April_Struct_Def,AllBridges_2009April_Town_Name,AllBridges_2009April_RPA
1,B16596,5VR,True,0.814814815,COMB  HAUL RD & CSX,HWY   D ST,NBI,MHS,42,20,51.63,71,2,25.18,17,4,0,2000,31.7,8,45.2,31.7,8,False,0,0,0,False,Boston,MAPC
2,B16583,5VU,True,0.814814815,HWY   W SERVICE RD EXT,HWY   SUMMER ST,NBI,MHS,42,20,58.56,71,2,57.5,14,4,12615,2000,21.9,0,69,30.5,7,False,0,0,0,False,Boston,MAPC
3,B16606,633,True,0.814814815,COMB  MGH PKNG & MBTA,I  93 RAMP N-S,NBI,MHS,42,22,5.16,71,3,48.71,11,2,45981,1997,9.8,99,180.7,11,7,True,0,0,0,False,Boston,MAPC
4,B16606,634,True,0.814814815,COMB  NASHUA ST&MGH PKNG,I  93 RAMP N-S,NBI,MHS,42,21,59.78,71,3,48.82,11,2,45981,1997,9.7,99,70.3,10.9,7,True,0,0,0,False,Boston,MAPC
5,B16607,6JN,True,0.814814815,RR    MBTA,I  93 RAMP S-N,NBI,MHS,4,21,59.45,71,3,48.38,11,2,41222,1997,9.7,99,203,11,7,True,0,0,0,False,Boston,MAPC
6,B16607,6JT,True,0.814814815,HWY   NASHUA ST,I  93 RAMP S-N,NBI,MHS,42,21,58.02,71,3,51.48,11,3,11700,2000,0,99,81.2,13.5,7,True,0,0,0,False,Boston,MAPC
7,M21015,1EF,True,0.9006,WATER LOUISA LAKE OTLT,HWY   DILLA ST,NBI,MUN,42,9,20.0736,71,31,15.6612,16,2,32760,2009,9.8,0,7.9,14.3,5,False,0,0,0,False,Milford,MAPC
8,B06007,1EV,True,0.6865,WATER PETERS RIVER,HWY   PAINE ST,NBI,MUN,42,1,25.4712,71,29,16.4436,16,2,3400,2009,9.1,0,7.6,0,N,False,0,0,0,False,Bellingham,MAPC
9,M21005,1JP,True,0.7409,WATER MILL RIVER,HWY   FISK MILL RD,NBI,MUN,42,9,55.8864,71,33,52.4088,17,2,5200,2007,6.1,20,7.3,7.3,5,False,18,25,40,False,Milford,MAPC
10,S29006,7Q8,True,0.9139,WATER ELIZABETH BROOK,HWY   WHEELER RD,NBI,MUN,42,25,54,71,30,54,08,2,800,2009,6.4,0,6.1,9.3,N,False,8,13,19,False,Stow,MAPC
11,M06006,1K9,True,1,WATER MILLHAM BROOK,HWY   MILLHAM ST,NBI,MUN,42,20,26.4408,71,36,24.6708,17,2,650,2009,7.6,45,9.1,0,N,False,0,0,0,False,Marlborough,MAPC
12,M06009,1L4,True,0.9124,I 495,US 20 EB/BSTN PST,NBI,MHD,42,20,28.3776,71,34,33.3768,14,3,36400,2008,11,0,86.9,15,6,True,0,0,0,False,Marlborough,MAPC
13,M06009,1L5,True,0.7884,I 495,US 20 WB/BSTN PST,NBI,MHD,42,20,28.3776,71,34,33.3768,14,3,34000,2008,11,0,86.9,15,6,True,0,0,0,False,Marlborough,MAPC
14,F07068,A4K,True,0.9988,ST  9 EB,ST  9 RAMP E,NBI,MHD,42,17,59,71,29,2,19,1,2700,2008,7.9,99,101.2,9,8,True,0,0,0,False,Framingham,MAPC
15,M06014,1TU,True,0.9741,WATER ASSABET RIVER,I 290,NBI,MHD,42,21,8.4924,71,36,52.2108,11,6,71200,2007,58.8,0,9.1,0,N,True,0,0,0,False,Marlborough,MAPC
16,M06015,1TV,True,0.9402,HWY   BIGELOW ST,I 290 EB,NBI,MHD,42,21,40.0356,71,35,50.1936,11,3,35000,2007,15.5,0,23.5,17.1,7,True,0,0,0,False,Marlborough,MAPC
17,M06015,1TW,True,0.7996,HWY   BIGELOW ST,I 290 WB,NBI,MHD,42,21,40.5972,71,35,50.7804,11,3,35000,2007,15.5,0,23.5,17.1,7,True,0,0,0,False,Marlborough,MAPC
18,M06016,1TX,True,0.7407,I 495,I 290 EB,NBI,MHD,42,21,46.638,71,35,26.7072,12,3,72000,2007,16.5,17,82.9,17.8,6,True,0,0,0,False,Marlborough,MAPC
19,M06016,1TY,True,0.7268,I 495,I 290 WB,NBI,MHD,42,21,47.2176,71,35,27.3012,12,3,72000,2007,16.5,17,82.9,17.8,6,True,0,0,0,False,Marlborough,MAPC
20,S20017,1U7,True,0.9365,ST 30 MAIN ST,I 495 NB,NBI,MHD,42,18,26.2332,71,33,58.3092,11,3,45000,2007,15.2,0,36,17.1,6,True,0,0,0,False,Southborough,MAPC
21,S20017,1U8,True,0.9201,ST 30 MAIN ST,I 495 SB,NBI,MHD,42,18,26.0748,71,33,59.22,11,3,45000,2007,15.2,0,34.7,17.1,7,True,0,0,0,False,Southborough,MAPC
22,S20018,1U9,True,0.7125,COMB  MDC AQUEDUCT & CSX,I 495 NB,NBI,MHD,42,18,49.2948,71,34,3,11,3,77500,2008,15.2,0,97.5,17.1,6,True,0,0,0,False,Southborough,MAPC
23,S20018,1UA,True,0.7331,COMB  MDC AQUEDUCT & CSX,I 495 SB,NBI,MHD,42,18,49.1868,71,34,10,11,3,85000,2008,15.2,0,102.1,17.1,6,True,0,0,0,False,Southborough,MAPC
24,S20019,1UB,True,0.8387,HWY   NORTHBORO RD,I 495 NB,NBI,MHD,42,18,53.9604,71,34,9.5124,11,3,90000,2008,15.2,0,35.4,17.1,7,True,0,0,0,True,Southborough,MAPC
25,S20019,1UC,True,0.8997,HWY   NORTHBORO RD,I 495 SB,NBI,MHD,42,18,53.6256,71,34,10.344,11,3,85000,2007,15.2,0,33.5,16.2,7,True,0,0,0,False,Southborough,MAPC
26,M21022,1UD,True,0.7957,ST109 MEDWAY RD,I 495 NB,NBI,MHD,42,8,50.6724,71,29,5.442,11,3,40200,2008,15.5,66,43,17.1,6,True,0,0,0,False,Milford,MAPC
27,M21022,1UE,True,0.9384,ST109 MEDWAY RD,I 495 SB,NBI,MHD,42,8,50.7732,71,29,6.432,11,3,40200,2008,15.5,66,43,17.1,7,True,0,0,0,False,Milford,MAPC
28,M21017,1UF,True,0.8115,RR    CSX (ABANDONED),I 495 SB,NBI,MHD,42,9,9.4752,71,29,14.4348,11,3,30000,2007,15.5,99,23.8,17.1,7,True,0,0,0,False,Milford,MAPC
29,M21017,1UG,True,0.8013,RR    CSX (ABANDONED),I 495 NB,NBI,MHD,42,9,9.8496,71,29,13.6428,11,3,30000,2007,15.5,99,23.8,17.1,7,True,0,0,0,False,Milford,MAPC
30,M21021,1UH,True,0.8053,ST 16 E MAIN ST,I 495 SB,NBI,MHD,42,9,15.9336,71,29,19.6836,11,3,35000,2008,15.8,14,29.3,17.4,6,True,0,0,0,False,Milford,MAPC
31,M21021,1UJ,True,0.79,ST 16 E MAIN ST,I 495 NB,NBI,MHD,42,9,16.506,71,29,19.0644,11,3,56000,2008,15.8,19,29.3,17.4,7,True,0,0,0,False,Milford,MAPC
32,M21020,1UK,True,0.7928,ST 85 CEDAR ST,I 495 NB,NBI,MHD,42,9,58.4064,71,30,33.3756,11,3,65000,2007,15.2,99,33.5,17.4,7,True,0,0,0,False,Milford,MAPC
33,M21020,1UL,True,0.7725,ST 85 CEDAR ST,I 495 SB,NBI,MHD,42,9,57.4776,71,30,33.2208,11,3,65000,2007,15.2,99,32.9,17.4,7,True,0,0,0,False,Milford,MAPC
34,M21018,1UM,True,0.785,HWY   HAVEN ST,I 495 NB,NBI,MHD,42,10,53.8788,71,31,41.0304,11,3,34000,2008,15.2,17,26.2,17.1,6,True,0,0,0,False,Milford,MAPC
35,M21018,1UN,True,0.7892,HWY   HAVEN ST,I 495 SB,NBI,MHD,42,10,50.304,71,31,44.2704,11,3,35000,2008,15.2,11,27.1,17.1,6,True,0,0,0,False,Milford,MAPC
36,H23008,1UP,True,0.6435,I  90,I 495 SB,NBI,MHD,42,15,59.3784,71,33,54.6408,11,3,80000,2008,15.8,21,65.5,17.7,7,True,0,0,0,False,Hopkinton,MAPC
37,H23011,1UQ,True,0.7468,HWY   W MAIN ST,I 495 NB,NBI,MHD,42,12,52.3476,71,32,44.7684,11,4,77000,2007,16.2,24,42.7,18.1,6,True,0,0,0,False,Hopkinton,MAPC
38,H23011,1UR,True,0.7618,HWY   W MAIN ST,I 495 SB,NBI,MHD,42,12,49.8924,71,32,48.7572,11,4,98909,2007,16.2,19,40.5,18.1,6,True,0,0,0,False,Hopkinton,MAPC
